"","maxgroup","value.IV","mean","sd","p"
"otu.1","3",51.6,"48.3","12.04",0.3887
"otu.2","2",11.7,"13.7","6.53",0.5415
"otu.3","1",11.7,"14","7.03",0.5297
"otu.6","2",46.6,"37.7","6.35",0.0974
"otu.7","1",55.5,"45.5","6.63",0.0852
"otu.8","3",55,"44.9","7.14",0.094
"otu.9","2",39.8,"43.9","5.4",0.7514
"otu.10","1",63.1,"57.2","11.44",0.2999
"otu.11","1",34.2,"40.8","9.16",0.7377
"otu.12","3",46.6,"45.2","6.47",0.3597
"otu.14","1",23,"29.4","10.55",0.7313
"otu.16","3",41.7,"30.1","11.1",0.1558
"otu.19","2",53.4,"43.7","10",0.1716
"otu.20","1",40.5,"39","3.18",0.2843
"otu.21","2",56.9,"42.1","6.88",0.033
"otu.22","2",44.3,"43.8","12.49",0.4789
"otu.23","3",19.5,"14.1","7.29",0.2082
"otu.25","2",15.8,"18.2","7.57",0.5629
"otu.27","3",31.1,"42","9.05",0.9212
"otu.28","3",30.7,"25.3","10.11",0.2665
"otu.29","2",51.7,"39.4","12.63",0.1718
"otu.30","3",47.1,"34.9","9.69",0.1136
"otu.35","3",30.8,"24.1","9.04",0.2038
"otu.36","2",35.9,"35.7","11.14",0.4271
"otu.37","3",38.5,"21","8.44",0.0398
"otu.38","2",42.9,"42.2","4.68",0.3935
"otu.39","1",27.4,"33.4","11.83",0.6493
"otu.41","3",32.6,"29","9.12",0.2803
"otu.42","1",21.6,"26.8","10.37",0.6537
"otu.43","2",60.3,"45.5","8.88",0.0688
"otu.44","3",30,"34.5","11",0.6229
"otu.45","3",38.2,"28.1","10.61",0.1588
"otu.46","2",43,"41.7","4.72",0.3427
"otu.47","1",22.5,"30.4","10.57",0.7574
"otu.48","2",40.9,"26.9","9.06",0.0816
"otu.49","1",69.9,"47.6","8.76",0.0162
"otu.50","2",61.5,"47.4","12",0.1228
"otu.51","3",41.4,"29.2","10.53",0.1288
"otu.53","1",10,"15.1","6.24",0.7377
"otu.54","3",77.3,"39.7","10.92",0.0034
"otu.55","1",44.2,"49.6","11.37",0.6575
"otu.56","3",46.1,"27.8","10.18",0.0432
"otu.57","3",37,"37.7","11.35",0.5553
"otu.58","3",34.8,"43.8","10.55",0.7942
"otu.59","2",44.3,"38.3","11.5",0.2945
"otu.60","1",41.5,"38.5","4.11",0.2188
"otu.61","1",30.2,"36.6","10.96",0.6753
"otu.63","3",45.9,"55.9","8.18",0.8846
"otu.64","2",44.2,"36.2","9.19",0.1738
"otu.65","2",41.1,"30.4","10.67",0.155
"otu.66","3",23.1,"12","6.57",0.0952
"otu.67","3",15.1,"20.8","8.37",0.7055
"otu.68","1",45.3,"43.4","6.17",0.3409
"otu.69","3",32.4,"24.2","10.13",0.1728
"otu.70","2",33.2,"34.2","7.75",0.4745
"otu.73","2",25.8,"33.4","11.4",0.7027
"otu.75","2",48.8,"42","6.73",0.1598
"otu.76","2",48.5,"40.8","4.05",0.0492
"otu.77","3",36.2,"22.8","9.51",0.1104
"otu.78","3",39.3,"38.4","2.82",0.3351
"otu.79","3",32.3,"25.5","9.54",0.2046
"otu.80","3",7.7,"9.4","1.47",1
"otu.81","1",20,"12.3","4.6",0.1626
"otu.82","3",14.9,"20.7","8.37",0.7624
"otu.83","2",56.2,"33.7","11.33",0.037
"otu.84","2",22.2,"24.6","9.24",0.5095
"otu.85","2",5.5,"9.9","5.97",0.8696
"otu.86","1",38.2,"43.2","5.2",0.828
"otu.87","2",61.5,"30.9","9.1",0.0058
"otu.88","3",23,"23.8","9.03",0.3995
"otu.89","3",51.1,"43.2","8.2",0.1658
"otu.90","3",53.8,"26","10.88",0.0206
"otu.91","3",32.6,"32.4","10.65",0.4181
"otu.93","3",56.2,"41.1","11.62",0.1136
"otu.95","2",24.4,"33.4","10.12",0.8126
"otu.99","3",47.2,"37.9","9.79",0.167
"otu.100","3",15,"20.7","8.28",0.766
"otu.101","2",72.5,"50.6","10.71",0.03
"otu.102","2",48.2,"39.2","12.14",0.222
"otu.103","1",20,"10.4","5.72",0.1636
"otu.104","3",7.2,"11.9","4.73",1
"otu.105","3",4.7,"10.1","5.83",0.8888
"otu.107","3",13.5,"13","6.69",0.4041
"otu.108","3",39,"36.7","11.49",0.3965
"otu.110","3",7.7,"9.4","1.46",1
"otu.111","1",18.4,"22.2","9.15",0.6647
"otu.112","3",15.4,"18.2","7.41",0.5499
"otu.113","2",35.4,"45.6","10.4",0.8366
"otu.114","1",53.6,"43.5","7.02",0.0952
"otu.115","1",16.6,"28","10.64",0.8842
"otu.116","1",15,"27.6","10.28",0.9594
"otu.117","1",42,"47.2","8.33",0.6901
"otu.118","1",48.1,"43.2","5.12",0.177
"otu.119","1",8,"10.6","5.46",0.6551
"otu.121","3",4.8,"15.3","7.74",1
"otu.122","3",16.2,"17.8","8.22",0.4767
"otu.123","3",35,"43.9","12.92",0.7205
"otu.124","1",10,"15.1","6.05",0.7872
"otu.125","3",7.7,"9.4","1.46",1
"otu.126","2",66.1,"48.1","10.18",0.0568
"otu.127","3",50.7,"40.4","11.97",0.2084
"otu.128","2",60.3,"25.3","9.25",0.0032
"otu.129","1",18.1,"12.1","6.62",0.2166
"otu.133","2",44.9,"32.2","8.67",0.0884
"otu.134","3",27.3,"20.6","8.99",0.2012
"otu.135","2",36.5,"25.5","7.99",0.1
"otu.136","3",14.8,"26.3","9.85",0.877
"otu.139","3",13.2,"27.2","10.1",0.9666
"otu.141","3",35.9,"22.8","9.82",0.1256
"otu.145","1",39.9,"40.7","4.1",0.5269
"otu.146","1",41.6,"18","7.5",0.0118
"otu.147","2",26.5,"17.5","7.89",0.1066
"otu.148","2",9.3,"18.6","8.24",0.8622
"otu.150","2",22.2,"13.5","6.75",0.1308
"otu.151","2",40.7,"44.9","7.87",0.6575
"otu.152","3",15.4,"10","5.93",0.3163
"otu.153","3",29.1,"39.4","12.08",0.7844
"otu.154","3",38.4,"25.3","9.75",0.101
"otu.155","3",7.7,"18.2","7.24",0.9728
